sentiment,text,user
"positive","RT @JamesTodd_: Great work by DELWP Biodiversity scientists and spatial analysts to develop the time series land cover data sets. Very prou…","david_papps55"
"neutral","RT @Chi_Curmudgeon: @drf5n @Laurie_Garrett @CDCgov @WhiteHouse CDC gutted, pandemic  &amp; science experts kneecapped. We aren’t even testing a…","Eilonwy24"
"positive","RT @NASA: How do you blend modern technology with Indigenous peoples' long environmental history? We're helping Indigenous groups learn to…","ChristinaCMLane"
"positive","RT @tedlieu: Dear @CDCDirector: You testified under oath that @CDCgov would be “data driven” and “science based.” You lied. This new CDC do…","NicolaNalexand"
"positive","RT @KirkDBorne: Hundreds of articles &amp; resources  for #DataScientists, sorted into many different topics: https://t.co/PgtST2RNL2\n—————\n#Bi…","andrewmorrisuk"
"positive","RT @KirkDBorne: Hundreds of articles &amp; resources  for #DataScientists, sorted into many different topics: https://t.co/PgtST2RNL2\n—————\n#Bi…","8e56325acb9b4c4"
"neutral","I have a data science joke but it's still being validated. https://t.co/f6Yxwpio7X","Shashank_Rai_"
"positive","RT @DataScience_b: Walk Through Recommender System of Advanced Matrix Factorization for implicit...\nhttps://t.co/xcp7nOzAIC\n #data #science…","datasciencebot_"
"neutral","RT @RaveCozensHardy: which they called Big Data Dolphins, in partnership with the data science department at the University of Mississippi.…","Neil_J_Ryder"
"positive","RT @verge: How the world’s biggest general science society is tackling racism https://t.co/vsKuZ2hF4x https://t.co/DIwG5kOH03","Iggy"
"positive","Walk Through Recommender System of Advanced Matrix Factorization for implicit...\nhttps://t.co/xcp7nOzAIC\n #data #science #datascience","DataScience_b"
"positive","RT @verge: How the world’s biggest general science society is tackling racism https://t.co/vsKuZ2hF4x https://t.co/DIwG5kOH03","narycoom4747"
"neutral","RT @NPR: Researchers analyzed the data from every study on the protective effect of masks. \n\nTheir bottom-line estimate: If 95% of people w…","gianamontana"
"negative","@KINGLORE666 - there was a hole.\n\n      He grunted a little as though it hurt. Thankfully, it did not.\n\nIt surprisi… https://t.co/unJC2nFK7m","princedadta"
"neutral","https://t.co/EPVQReYFDy\nhttps://t.co/YnFjAbhMWk\nhttps://t.co/epje5VJt0n\nhttps://t.co/mdYzGR5xWD… https://t.co/eCmRtBQTBF","Peaceful1979"
